ТУ?,Группа прочности,"Предел прочности = Временное сопротивление, МПа, не менее","Предел текучести условный1), МПа: - не менее","Предел текучести условный1), МПа: - не более","Твердость, HRC, не более","1) Условный предел текучести определяется при пластической деформации 0,2 %. Начальная расчетная длина принимается 50 мм."
СТ,70,552,483,552,22,
СТ,80,607,551,620,22,
СТ,90,669,620,689,22,
СТ,100,758,689,-,28,
СТ,110,793,758,-,30,
RT,70,552,483,552,22,
RT,80,607,551,620,22,
RT,90,669,620,689,22,
RT,100,758,689,-,28,
RT,110,793,758,-,30,