Наружный диаметр,Толщина стенки ГНКТ,"Теоретическая масса 1 метра ГНКТ, кг"
"31,80","7,60",
"31,80","2,40","1,74"
"31,80","2,60","1,87"
"25,40","3,20","1,75"
"66,70","3,40",
"31,80","3,20","2,26"
"33,50","4,80",
"50,80","2,60",
"31,80","6,40",
"31,80","4,80",
"31,80","5,20",
"33,50","2,40","1,84"
"33,50","4,80",
"31,80","2,00","1,47"
"33,50","3,00","2,26"
"33,50","3,40","2,52"
"50,80","2,20",
"25,40","6,40",
"33,50","4,40",
"33,50","5,20",
"38,10","2,00",
"25,40","4,40",
"60,30","2,20",
"66,70","2,20",
"25,40","1,90","1,10"
"25,40","2,80","1,56"
"25,40","5,20",
"44,50","2,20",
"31,80","2,80","2,00"
"60,30","2,60",
"66,70","2,60",
"25,40","2,00","1,15"
"31,80","1,90","1,40"
"31,80","4,40","2,97"
"50,80","2,40",
"66,70","3,00",
"25,40","2,40","1,36"
"25,40","7,10",
"31,80","3,70","2,56"
"33,50","2,40","1,84"
"60,30","2,40",
"25,40","3,40","1,84"
"31,80","3,20","2,26"
"31,80","5,20",
"33,50","3,00","2,26"
"33,50","7,60",
"66,70","2,40",
"66,70","2,80",
"66,70","3,20",
"33,50","2,10",
"33,50","5,70",
"38,10","3,40","2,91"
"25,40","2,10","1,21"
"25,40","2,20","1,26"
"25,40","2,60","1,46"
"25,40","3,00","1,66"
"25,40","3,70",
"25,40","4,00",
"25,40","4,80",
"25,40","5,70",
"25,40","7,00",
"25,40","7,60",
"31,80","2,10",
"31,80","2,20","1,61"
"31,80","3,00","2,13"
"31,80","3,40","2,38"
"31,80","4,00","2,74"
"31,80","4,80",
"31,80","5,70",
"31,80","7,00",
"31,80","7,10",
"33,50","1,90",
"33,50","2,00",
"33,50","2,20","1,70"
"33,50","2,60","1,98"
"33,50","2,80","2,12"
"33,50","3,20","2,39"
"33,50","3,70","2,72"
"33,50","4,00","2,91"
"33,50","4,40",
"33,50","5,20",
"33,50","6,40",
"33,50","7,00",
"33,50","7,10",
"38,10","1,90",
"38,10","2,10",
"38,10","2,20","1,95"
"38,10","2,40","2,11"
"38,10","2,60","2,28"
"38,10","2,80","2,44"
"38,10","3,00","2,60"
"38,10","3,20","2,75"
"38,10","3,70","3,14"
"38,10","4,00","3,36"
"38,10","4,40","3,66"
"38,10","4,80","3,94"
"38,10","5,20","4,22"
"38,10","5,70",
"38,10","6,40",
"38,10","7,00",
"38,10","7,10",
"38,10","7,60",
"44,50","1,90",
"44,50","2,10",
"44,50","2,00",
"44,50","2,20",
"44,50","2,40","2,49"
"44,50","2,60","2,69"
"44,50","2,80","2,88"
"44,50","3,00","3,07"
"44,50","3,20","3,26"
"44,50","3,40","3,45"
"44,50","3,70","3,72"
"44,50","4,00","4,00"
"44,50","4,40","4,35"
"44,50","4,80","4,70"
"44,50","5,20","5,04"
"44,50","5,70","5,45"
"44,50","6,40","6,01"
"44,50","7,00",
"44,50","7,10",
"44,50","7,60",
"50,80","1,90",
"50,80","2,10",
"50,80","2,00",
"50,80","2,20",
"50,80","2,40",
"50,80","2,60",
"50,80","2,80","3,31"
"50,80","3,00","3,54"
"50,80","3,20","3,76"
"50,80","3,40","3,97"
"50,80","3,70","4,30"
"50,80","4,00","4,62"
"50,80","4,40","5,03"
"50,80","4,80","5,45"
"50,80","5,20","5,85"
"50,80","5,70","6,34"
"50,80","6,40","7,01"
"50,80","7,00","7,56"
"50,80","7,10","7,65"
"50,80","7,60",
"60,30","1,90",
"60,30","2,10",
"60,30","2,00",
"60,30","2,20",
"60,30","2,40",
"60,30","2,60",
"60,30","2,80","3,97"
"60,30","3,00","4,24"
"60,30","3,20","4,51"
"60,30","3,40","4,77"
"60,30","3,70","5,16"
"60,30","4,00","5,55"
"60,30","4,40","6,07"
"60,30","4,80","6,57"
"60,30","5,20","7,07"
"60,30","5,70","7,68"
"60,30","6,40","8,51"
"60,30","7,00","9,20"
"60,30","7,10","9,32"
"60,30","7,60","9,88"
"66,70","1,90",
"66,70","2,10",
"66,70","2,00",
"66,70","2,20",
"66,70","2,40",
"66,70","2,60",
"66,70","2,80",
"66,70","3,00",
"66,70","3,20",
"66,70","3,40",
"66,70","3,70","5,75"
"66,70","4,00","6,19"
"66,70","4,40","6,76"
"66,70","4,80","7,33"
"66,70","5,20","7,89"
"66,70","5,70","8,57"
"66,70","6,40","9,52"
"66,70","7,00","10,31"
"66,70","7,10","10,44"
"66,70","7,60","11,08"
"73,00","1,90",
"73,00","2,10",
"73,00","2,00",
"73,00","2,20",
"73,00","2,40",
"73,00","2,60",
"73,00","2,80",
"73,00","3,00",
"73,00","3,20",
"73,00","3,40","5,84"
"73,00","3,70","6,32"
"73,00","4,00","6,81"
"73,00","4,40","7,44"
"73,00","4,80","8,07"
"73,00","5,20","8,69"
"73,00","5,70","9,46"
"73,00","6,40","10,51"
"73,00","7,00","11,39"
"73,00","7,10","11,54"
"73,00","7,60","12,26"
"82,60","1,90",
"82,60","2,10",
"82,60","2,00",
"82,60","2,20",
"82,60","2,40",
"82,60","2,60",
"82,60","2,80",
"82,60","3,00",
"82,60","3,20",
"82,60","3,40",
"82,60","3,70","7,20"
"82,60","4,00","7,75"
"82,60","4,40","8,49"
"82,60","4,80","9,21"
"82,60","5,20","9,93"
"82,60","5,70","10,81"
"82,60","6,40","12,03"
"82,60","7,00","13,05"
"82,60","7,10","13,22"
"82,60","7,60","14,06"
"88,90","1,90",
"88,90","2,10",
"88,90","2,00",
"88,90","2,20",
"88,90","2,40",
"88,90","2,60",
"88,90","2,80",
"88,90","3,00",
"88,90","3,20",
"88,90","3,40",
"88,90","3,70",
"88,90","4,00","8,38"
"88,90","4,40","9,17"
"88,90","4,80","9,96"
"88,90","5,20","10,73"
"88,90","5,70","11,70"
"88,90","6,40","13,02"
"88,90","7,00","14,14"
"88,90","7,10","14,32"
"88,90","7,60","15,24"